RatingID,ProfileID,RatingNotes,ApproverNotes,RatingList,RatingTotal,RatingDiv,DateRated,DateApproved,ByRated,ByApproved,IsProvisional,IsApproved,IsActive,History,Updated,Rating1,Rating2,Rating3,Rating4,Rating5,Rating6,Rating7,Rating8,Rating9,Rating10,Rating11,Rating12,Rating13,Rating14,Rating15,Rating16,Rating17,Rating18,Rating19,Rating20,Rating21,Rating22,Rating23,Rating24,Rating25,Rating26,Rating27,SSMA_TimeStamp,NG,NR
21,1259,,,"1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0",15,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,,1,0
22,1228,,,"1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0",15,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,,0,0
23,411,,,"1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0",15,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,,0,0
24,1454,,,"1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0",14,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,1,0
25,1453,,,"1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0",14,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,1,0
26,1438,,,"1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0",13,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,,0,0
27,1270,,,"1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0",13,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,1,0
28,1264,,,"1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0",13,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,0,0
29,629,,,"1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0",12,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,,0,0
30,15,,,"1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0",12,,2000-01-01 00:00:00,2000-01-01 00:00:00,1,1,1,1,1,,,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,,1,0
